wind_h2_share,solar_h2_share,gas_ccs_share,wind_h2_demand_mw,solar_h2_demand_mw,gas_ccs_demand_mw,wind_h2_capex_gbp,wind_h2_opex_25y_gbp,solar_h2_capex_gbp,solar_h2_opex_25y_gbp,gas_ccs_capex_gbp,gas_ccs_opex_25y_gbp,total_capex_gbp,total_opex_25y_gbp,total_expenditure_25y_gbp
0.2,0.0,0.8,1640.0,0.0,6560.0,19201413102.244667,19654951255.154778,0.0,0.0,12200000000.0,135756707173.14778,31401413102.244667,155411658428.30255,186813071530.5472
0.2,0.05,0.75,1640.0,410.0,6150.0,19201413102.244667,19654951255.154778,12017370117.1875,9890001921.940695,11437500000.0,127271912974.82605,42656283219.43217,156816866151.9215,199473149371.35367
0.2,0.1,0.7000000000000001,1640.0,820.0,5740.000000000001,19201413102.244667,19654951255.154778,24034740234.375,19780003843.88139,10675000000.000002,118787118776.50432,53911153336.61967,158222073875.54047,212133227212.16013
0.2,0.15,0.65,1640.0,1230.0,5330.0,19201413102.244667,19654951255.154778,36052110351.5625,29670005765.82208,9912500000.0,110302324578.18257,65166023453.80717,159627281599.15942,224793305052.96658
0.2,0.2,0.6000000000000001,1640.0,1640.0,4920.000000000001,19201413102.244667,19654951255.154778,48069480468.75,39560007687.76278,9150000000.000002,101817530379.86086,76420893570.99467,161032489322.7784,237453382893.77307
0.2,0.25,0.55,1640.0,2050.0,4510.0,19201413102.244667,19654951255.154778,60086850585.9375,49450009609.70347,8387500000.000001,93332736181.53911,87675763688.18216,162437697046.39734,250113460734.5795
0.2,0.3,0.5,1640.0,2460.0,4100.0,19201413102.244667,19654951255.154778,72104220703.125,59340011531.64416,7625000000.0,84847941983.21736,98930633805.36966,163842904770.0163,262773538575.38596
0.2,0.35,0.45000000000000007,1640.0,2870.0,3690.0000000000005,19201413102.244667,19654951255.154778,84121590820.3125,69230013453.58485,6862500000.000001,76363147784.89563,110185503922.55716,165248112493.63525,275433616416.1924
0.2,0.4,0.4,1640.0,3280.0,3280.0,19201413102.244667,19654951255.154778,96138960937.5,79120015375.52556,6100000000.0,67878353586.57389,121440374039.74466,166653320217.2542,288093694256.9989
0.2,0.45,0.35000000000000003,1640.0,3690.0,2870.0000000000005,19201413102.244667,19654951255.154778,108156331054.6875,89010017297.46625,5337500000.000001,59393559388.25216,132695244156.93216,168058527940.8732,300753772097.80536
